"id","gid","area","city","latitude","longitude","num_accident","nh_number"
1,2,"ARK Nagar","Trichy","10.826353","78.712434",4,"NH 67"
2,2,"ARK Nagar","Trichy","10.826874","78.712439",2,"NH 67"
3,2,"ARK Nagar","Trichy","10.827575","78.712493",1,"NH 67"
4,2,"Ammanpettai","Thanjavur","10.827628","78.712649",3,"NH 136"
5,2,"Uthukuli","Erode","10.827296","78.712649",5,"84A"
6,2,"Rayapuram","Chennai","10.826798","78.712627",2,"NH 114"
7,2,"ARK Nagar","Trichy","10.826292","78.712622",1,"NH 67"
8,2,"ARK Nagar","Trichy","10.825744","78.712611",3,"NH 67"
9,2,"ARK Nagar","Trichy","10.825478","78.712579",4,"NH 67"
10,2,"ARK Nagar","Trichy","10.825526","78.712437",3,"NH 67"
11,2,"ARK Nagar","Trichy","10.826063","78.712442",3,"NH 67"
12,2,"ARK Nagar","Trichy","10.826353","78.712434",2,"NH 67"
13,3,"Velayudhapuram","Trichy","10.87446","78.773432",2,"NH 81"
14,3,"Velayudhapuram","Trichy","10.874723","78.774848",1,"NH 81"
15,3,"Velayudhapuram","Trichy","10.875229","78.777798",3,"NH 81"
16,3,"Velayudhapuram","Trichy","10.875229","78.781124",4,"NH 81"
17,3,"Velayudhapuram","Trichy","10.874807","78.775663",2,"NH 81"
18,3,"Velayudhapuram","Trichy","10.874461","78.773432",1,"NH 81"
19,4,"Ammanpettai","Thanjavur","10.839","79.121939",2,"NH 136"
20,4,"Ammanpettai","Thanjavur","10.839432","79.121555",3,"NH 136"
21,4,"Ammanpettai","Thanjavur","10.839853","79.121281",7,"NH 136"
22,4,"Ammanpettai","Thanjavur","10.840043","79.121239",2,"NH 136"
23,4,"Ammanpettai","Thanjavur","10.839276","79.121764",1,"NH 136"
24,4,"Ammanpettai","Thanjavur","10.839","79.121939",1,"NH 136"
25,5,"Uthukuli","Erode","11.294129","77.759313",2,"84A"
26,5,"Uthukuli","Erode","11.294739","77.759096",3,"84A"
27,5,"Uthukuli","Erode","11.295465","77.758908",5,"84A"
28,5,"Uthukuli","Erode","11.295623","77.758929",4,"84A"
29,5,"Uthukuli","Erode","11.294639","77.759208",1,"84A"
30,6,"Rayapuram","Chennai","13.111897","80.292085",2,"NH 114"
31,6,"Rayapuram","Chennai","13.11349","80.292321",3,"NH 114"
32,6,"Rayapuram","Chennai","13.114609","80.292514",8,"NH 114"
33,6,"Rayapuram","Chennai","13.115131","80.292659",6,"NH 114"
34,6,"Rayapuram","Chennai","13.112406","80.292221",4,"NH 114"
